Cancer	Gene	cnv	N.cells.with.cnv
BRCA	SHC2	Gain	783
BRCA	BSG	Gain	2009
BRCA	PTBP1	Gain	3192
BRCA	ARID3A	Gain	2141
BRCA	TMEM259	Gain	3192
BRCA	ABCA7	Gain	1175
BRCA	GPX4	Gain	2287
BRCA	SBNO2	Gain	3192
BRCA	ATP5F1D	Gain	1328
BRCA	MIDN	Gain	2453
BRCA	CIRBP	Gain	3192
BRCA	PWWP3A	Gain	3656
BRCA	DAZAP1	Gain	3656
BRCA	RPS15	Gain	3524
BRCA	UQCR11	Gain	2402
BRCA	BTBD2	Gain	3192
BRCA	MKNK2	Gain	3060
BRCA	AP3D1	Gain	3656
BRCA	OAZ1	Gain	3310
BRCA	LSM7	Gain	3917
BRCA	TLE5	Gain	3453
BRCA	GNA11	Gain	1328
BRCA	NFIC	Gain	4049
BRCA	EEF2	Gain	3310
BRCA	ZBTB7A	Gain	3585
BRCA	MYDGF	Gain	2846
BRCA	DPP9	Gain	3585
BRCA	KDM4B	Gain	4614
BRCA	PTPRS	Gain	4150
BRCA	SAFB2	Gain	4150
BRCA	SAFB	Gain	4614
BRCA	RPL36	Gain	3875
BRCA	INSR	Gain	4121
BRCA	ELAVL1	Gain	3831
BRCA	CERS4	Gain	2822
BRCA	RPS28	Gain	3699
BRCA	HNRNPM	Gain	3831
BRCA	ZNF266	Gain	3367
BRCA	ZNF121	Gain	4051
BRCA	ZNF562	Gain	4183
BRCA	DNMT1	Gain	4183
BRCA	CDC37	Gain	4183
BRCA	ILF3	Gain	5038
BRCA	DNM2	Gain	5038
BRCA	SMARCA4	Gain	5038
BRCA	TMEM205	Gain	4305
BRCA	ZNF627	Gain	6357
BRCA	ZNF439	Gain	3648
BRCA	ZNF69	Gain	3538
BRCA	ZNF700	Gain	6691
BRCA	ZNF433-AS1	Gain	6227
BRCA	ZNF44	Gain	6691
BRCA	ZNF490	Gain	5488
BRCA	ZNF791	Gain	6691
BRCA	TNPO2	Gain	6559
BRCA	HOOK2	Gain	6559
BRCA	JUNB	Gain	5488
BRCA	CALR	Gain	6316
BRCA	NFIX	Gain	6872
BRCA	IER2	Gain	6316
BRCA	CCDC130	Gain	8969
BRCA	RFX1	Gain	7858
BRCA	ADGRL1	Gain	6655
BRCA	PKN1	Gain	7332
BRCA	TECR	Gain	8322
BRCA	BRD4	Gain	8404
BRCA	AKAP8	Gain	7576
BRCA	AKAP8L	Gain	8404
BRCA	TPM4	Gain	8404
BRCA	EPS15L1	Gain	8404
BRCA	SLC35E1	Gain	7444
BRCA	SMIM7	Gain	8404
BRCA	MYO9B	Gain	8404
BRCA	SLC27A1	Gain	7706
BRCA	RPL18A	Gain	7665
BRCA	IQCN	Gain	5067
BRCA	JUND	Gain	7809
BRCA	PGPEP1	Gain	5067
BRCA	SSBP4	Gain	8265
BRCA	UBA52	Gain	8688
BRCA	CRTC1	Gain	9567
BRCA	COPE	Gain	9582
BRCA	SUGP2	Gain	11889
BRCA	SLC25A42	Gain	329
BRCA	MAU2	Gain	13394
BRCA	GATAD2A	Gain	13394
BRCA	NDUFA13	Gain	14325
BRCA	ZNF506	Gain	13249
BRCA	ZNF253	Gain	11994
BRCA	ZNF682	Gain	11994
BRCA	AC011447.3	Gain	13500
BRCA	AC008554.1	Gain	1829
BRCA	ZNF737	Gain	15478
BRCA	ZNF626	Gain	10979
BRCA	ZNF66	Gain	16995
BRCA	ZNF430	Gain	16140
BRCA	ZNF714	Gain	16140
BRCA	ZNF431	Gain	19385
BRCA	ZNF708	Gain	19385
BRCA	ZNF493	Gain	19385
BRCA	ZNF429	Gain	17479
BRCA	AC123912.1	Gain	8182
BRCA	ZNF100	Gain	20576
BRCA	ZNF43	Gain	20914
BRCA	ZNF91	Gain	23565
BRCA	ZNF675	Gain	23565
BRCA	ZNF254	Gain	23565
BRCA	LINC00662	Gain	23565
BRCA	AC006504.5	Gain	14858
BRCA	URI1	Gain	23565
BRCA	ZNF507	Gain	24315
BRCA	DPY19L3	Gain	24315
BRCA	CEP89	Gain	24315
BRCA	LSM14A	Gain	24315
BRCA	KIAA0355	Gain	24315
BRCA	GPI	Gain	24315
BRCA	UBA2	Gain	26044
BRCA	SCGB2B2	Gain	26337
BRCA	ZNF302	Gain	26337
BRCA	LINC01801	Gain	1369
BRCA	ZNF30	Gain	9576
BRCA	GRAMD1A	Gain	25227
BRCA	HPN	Gain	5682
BRCA	FXYD3	Gain	16562
BRCA	USF2	Gain	9842
BRCA	COX6B1	Gain	22884
BRCA	CAPNS1	Gain	4378
BRCA	ZNF565	Gain	25026
BRCA	ZNF146	Gain	25197
BRCA	LINC00665	Gain	23542
BRCA	ZFP14	Gain	22190
BRCA	ZNF566	Gain	18854
BRCA	ZNF529	Gain	20842
BRCA	ZNF790-AS1	Gain	15110
BRCA	ZNF345	Gain	22314
BRCA	ZNF568	Gain	17784
BRCA	ZNF420	Gain	22446
BRCA	ZNF585B	Gain	18360
BRCA	ZNF875	Gain	19844
BRCA	ZNF540	Gain	11318
BRCA	ZFP30	Gain	18140
BRCA	ZNF573	Gain	15133
BRCA	SIPA1L3	Gain	21872
BRCA	SPINT2	Gain	21701
BRCA	ACTN4	Gain	21410
BRCA	HNRNPL	Gain	21410
BRCA	PAK4	Gain	11319
BRCA	SAMD4B	Gain	21410
BRCA	RPS16	Gain	19551
BRCA	SUPT5H	Gain	19261
BRCA	ZNF780B	Gain	19261
BRCA	AKT2	Gain	17090
BRCA	PLD3	Gain	17090
BRCA	BLVRB	Gain	14935
BRCA	SPTBN4	Gain	3595
BRCA	LTBP4	Gain	3595
BRCA	HNRNPUL1	Gain	14140
BRCA	HNRNPUL1	Loss	1023
BRCA	TMEM91	Gain	10822
BRCA	TMEM91	Loss	1023
BRCA	RPS19	Gain	14291
BRCA	RPS19	Loss	1023
BRCA	ARHGEF1	Gain	9847
BRCA	TMEM145	Gain	1369
BRCA	LIPE-AS1	Gain	13953
BRCA	LIPE-AS1	Loss	1023
BRCA	AC004784.1	Gain	4930
BRCA	PHLDB3	Gain	10836
BRCA	ZNF283	Gain	4194
BRCA	ZNF283	Loss	1023
BRCA	ZNF155	Gain	2937
BRCA	ZNF155	Loss	1023
BRCA	ZNF224	Gain	5224
BRCA	ZNF224	Loss	1023
